name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;960;0;960;3083;1003;3083;1026;0
header;120;118;120;157;1808;157;1808;118
A;975;177;975;207;1002;207;1002;177
A;993;797;993;798;994;798;994;797
B;980;849;980;877;1000;877;1000;849
A;997;1108;997;1108;999;1108;999;1108
A;973;1444;973;1446;976;1446;976;1444
C;973;1559;973;1586;993;1586;993;1559
A;1000;1684;1000;1687;1003;1687;1003;1684
A;1002;1810;1002;1810;1002;1810;1002;1810
D;978;2230;978;2259;1002;2259;1002;2230
A;985;2528;985;2529;985;2529;985;2528
