name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;461;0;484;3079;1043;3079;1043;0
header;181;141;181;176;1819;176;1819;141
A;1006;88;1006;88;1006;88;1006;88
A;988;206;988;234;1012;234;1012;206
C;645;851;645;870;660;870;660;851
B;994;883;994;912;1017;912;1017;883
A;756;1236;756;1236;756;1236;756;1236
C;584;1362;584;1387;604;1387;604;1362
B;971;1466;971;1492;988;1492;988;1466
C;1006;1571;1006;1599;1027;1599;1027;1571
D;1011;2244;1011;2271;1034;2271;1034;2244
D;705;2419;705;2444;734;2444;734;2419
